"lon","lat","order"
105.492574,36.190983,86
105.49312,36.190643,87
105.494349,36.189797,88
105.49505,36.189736,89
105.49569,36.190021,90
105.49608,36.19066,91
105.496443,36.191243,92
105.496469,36.19202,93
105.496946,36.192678,94
105.497534,36.192798,95
105.497924,36.192903,96
105.499144,36.193774,97
105.511193,36.200382,98
105.516654,36.203551,99
105.520437,36.206437,100
105.52609,36.211216,101
105.531571,36.21416,102
105.537,36.218018,103
105.54392,36.220545,104
105.551908,36.224035,105
105.559672,36.226594,106
105.56907,36.230365,107
105.57534,36.234485,108
105.581153,36.236754,109
105.586212,36.237391,110
105.588118,36.237458,111
105.590094,36.234921,112
105.590381,36.234851,113
105.591251,36.234764,114
105.59175,36.234643,115
105.591991,36.234499,116
105.592128,36.234322,117
105.592275,36.233721,118
105.592552,36.233174,119
105.592848,36.232788,120
105.593136,36.232611,121
105.593556,36.232562,122
105.594709,36.2327,123
105.595204,36.23267,124
105.595616,36.232488,125
105.596731,36.231745,126
105.597343,36.23154,127
105.598261,36.231373,128
105.599785,36.231256,129
105.60161,36.23135,130
105.602216,36.231284,131
105.602709,36.231159,132
105.603144,36.230984,133
105.603592,36.230731,134
105.603889,36.230479,135
105.604112,36.23017,136
105.604272,36.22982,137
105.604371,36.229068,138
105.604508,36.228755,139
105.604698,36.228484,140
105.60505,36.228117,141
105.605854,36.227523,142
105.606099,36.227278,143
105.606422,36.226738,144
105.606664,36.226029,145
105.606898,36.224763,146
105.606944,36.224024,147
105.606926,36.222913,148
105.606691,36.220554,149
105.606646,36.219526,150
105.606672,36.218314,151
105.606799,36.217363,152
105.606998,36.216645,153
105.607332,36.215935,154
105.60781,36.215229,155
105.608513,36.214445,156
105.609413,36.213643,157
105.61083,36.21259,158
105.611785,36.211994,159
105.612623,36.211548,160
105.613394,36.211205,161
105.614035,36.211008,162
105.615501,36.210702,163
105.616096,36.210505,164
105.617184,36.209959,165
105.61764,36.209636,166
105.618105,36.209215,167
105.619562,36.207594,168
105.621031,36.20598,169
105.622345,36.204408,170
105.623346,36.203106,171
105.624201,36.201721,172
105.624806,36.200589,173
105.625136,36.199664,174
105.625268,36.198738,175
105.625255,36.197799,176
105.625129,36.197137,177
105.62467,36.196196,178
105.624569,36.195869,179
105.624526,36.195508,180
105.624549,36.195267,181
105.624676,36.194977,182
105.624803,36.194898,183
105.625081,36.194823,184
105.625404,36.194771,185
105.626388,36.194747,186
105.627114,36.194554,187
105.627747,36.194273,188
105.628284,36.19393,189
105.628679,36.193574,190
105.628844,36.193336,191
105.629146,36.192685,192
105.629319,36.192418,193
105.629634,36.192088,194
105.629979,36.191811,195
105.630354,36.191601,196
105.630994,36.191341,197
105.631591,36.191143,198
105.63344,36.190669,199
105.634432,36.190287,200
105.635151,36.189829,201
105.63547,36.189691,202
105.63608,36.189521,203
105.636714,36.189378,204
105.638533,36.185521,205
105.640856,36.184454,206
105.64458,36.178391,207
105.648731,36.174868,208
105.653387,36.172509,209
105.657521,36.169445,210
105.661064,36.166823,211
105.664075,36.163486,212
105.666191,36.160807,213
105.670621,36.157527,214
105.673546,36.155796,215
105.676706,36.154992,216
105.681033,36.153544,217
105.683897,36.152961,218
105.687039,36.152388,219
105.690965,36.15322,220
105.693481,36.154001,221
105.696806,36.15527,222
105.698381,36.157628,223
105.702123,36.161896,224
105.70396,36.164718,225
105.706927,36.167582,226
105.71481,36.172564,227
105.725586,36.174696,228
105.737896,36.173759,229
105.745256,36.172228,230
105.747297,36.173377,231
105.75032,36.177687,232
105.754619,36.179645,233
105.759278,36.179133,234
105.768687,36.17468,235
105.774023,36.166498,236
105.777935,36.159058,237
105.779782,36.154882,238
105.773388,36.149088,239
105.767418,36.14432,240
105.76115,36.14076,241
105.757148,36.136513,242
105.759483,36.132853,243
105.765343,36.133203,244
105.77088,36.137676,245
105.774593,36.139143,246
105.779434,36.138837,247
105.784698,36.13687,248
105.792407,36.138109,249
105.800001,36.141319,250
105.804369,36.140859,251
105.80917,36.138737,252
105.812228,36.133466,253
105.812531,36.126936,254
105.813804,36.124878,255
105.818535,36.121268,256
105.821004,36.122186,257
105.824088,36.125448,258
105.829772,36.129626,259
105.832925,36.13381,260
105.839874,36.141244,261
105.848737,36.144738,262
105.85703,36.150749,263
105.858702,36.154699,264
105.860939,36.162601,265
105.861771,36.165932,266
105.867379,36.174402,267
105.876873,36.184993,268
105.879119,36.18683,269
