"lon","lat","order"
121.865962,31.294935,288
121.86079,31.294943,289
121.858964,31.294336,290
121.856682,31.292814,291
121.852879,31.292363,292
121.844362,31.294514,293
121.84056,31.295436,294
121.838583,31.296813,295
121.836302,31.298952,296
121.832044,31.301706,297
121.827634,31.304307,298
121.822615,31.307367,299
121.813186,31.316231,300
121.806646,31.324173,301
121.803756,31.328449,302
121.803148,31.33211,303
121.802692,31.342788,304
121.80178,NA,305
121.988245,31.529597,306
121.993863,31.51189,307
121.995716,31.4931,308
121.991697,31.476758,309
121.981808,31.464095,310
121.967288,31.456662,311
121.934299,31.442359,312
121.918047,31.434692,313
121.90114,31.430125,314
121.89055,31.428788,315
121.882098,31.42866,316
121.87299,31.429341,317
121.857813,31.430044,318
121.845378,31.431892,319
121.834218,31.433977,320
121.819179,31.438211,321
121.763436,31.458228,322
121.729887,31.471978,323
121.682858,31.491068,324
121.670612,31.494217,325
121.638648,31.499722,326
121.625778,31.501769,327
121.617682,31.503668,328
121.60879,31.506904,329
121.54768,31.531128,330
121.471173,31.57443,331
121.43422,31.590338,332
121.414794,31.591078,333
121.40352,31.590007,334
121.395461,31.585441,335
121.372212,31.553206,336
121.345591,31.571686,337
121.289106,31.616282,338
121.179863,31.720773,339
121.145332,31.753923,340
121.142064,31.75531,341
121.118496,31.759078,342
121.149226,31.787289,343
121.181509,31.82041,344
121.200328,31.835144,345
121.225309,31.847039,346
121.242068,31.853401,347
121.25211,31.857733,348
121.265578,31.864123,349
121.28134,31.869038,350
121.291163,31.870989,351
121.301902,31.872716,352
121.310365,31.8725,353
121.315854,31.871484,354
121.323057,31.868533,355
121.36929,31.843281,356
121.376375,31.838576,357
121.385049,31.833531,358
121.391113,31.826365,359
121.395382,31.821294,360
121.396489,31.820182,361
121.397173,31.819593,362
121.398168,31.818344,363
121.399149,31.817478,364
121.399288,31.81711,365
121.400423,31.815713,366
121.402623,31.81348,367
121.405465,31.809838,368
121.40591,31.809536,369
121.40764,31.808806,370
121.410235,31.807159,371
121.411494,31.806345,372
121.413447,31.803245,373
121.41459,31.800979,374
121.415672,31.79938,375
121.416307,31.797644,376
121.41474,31.796882,377
121.41238,31.796205,378
121.410903,31.795582,379
121.411353,31.794789,380
121.419054,31.78249,381
121.42091,31.779601,382
121.422575,31.777784,383
121.425783,31.774271,384
121.431488,31.769262,385
121.433283,31.768613,386
121.439497,31.766363,387
121.445388,31.764301,388
121.449745,31.761664,389
121.455573,31.759342,390
121.464144,31.757142,391
121.476813,31.756146,392
121.487748,31.75342,393
121.49856,31.75326,394
121.515503,31.741981,395
121.526687,31.740216,396
121.528357,31.73835,397
121.539423,31.735498,398
121.540124,31.733313,399
121.549505,31.726968,400
121.551384,31.727385,401
121.565023,31.716707,402
121.57854,31.710528,403
121.592448,31.706668,404
121.593342,31.704615,405
121.599632,31.702624,406
121.600952,31.70718,407
121.602733,31.707285,408
121.611416,31.704756,409
121.615647,31.702484,410
121.627334,31.69777,411
121.628301,31.698085,412
121.633276,31.696162,413
121.642655,31.69746,414
121.715262,31.673842,415
121.817811,31.652028,416
121.887611,31.63638,417
121.975185,NA,418
121.94659,31.224363,419
121.951043,31.228817,420
121.957253,31.230419,421
121.969182,31.230287,422
121.980661,31.228092,423
121.989661,31.224526,424
122.008565,31.220992,425
122.01104,31.217408,426
122.012615,31.210006,427
122.012013,31.192045,428
122.010588,31.188003,429
122.00541,31.176988,430
121.999558,31.165074,431
121.995732,31.160798,432
121.975861,31.158839,433
121.970769,31.157556,434
121.965678,31.157543,435
121.959631,31.159277,436
121.952629,31.167202,437
121.948021,31.176404,438
121.944839,31.18688,439
121.942614,31.198469,440
121.941824,31.20768,441
121.943251,NA,442
121.538014,31.388495,443
121.559815,31.383606,444
121.583861,31.378505,445
121.593713,31.376417,446
121.598945,31.374606,447
