"lon","lat","order"
117.172123,40.074215,113
117.171915,40.074237,114
117.171265,40.074056,115
117.169117,40.074589,116
117.167583,40.075191,117
117.16501,40.07668,118
117.164594,40.07666,119
117.164369,40.075978,120
117.164152,40.075853,121
117.161275,40.076357,122
117.160747,40.076549,123
117.158832,40.077859,124
117.158294,40.078116,125
117.15787,40.078312,126
117.156388,40.078671,127
117.156189,40.07861,128
117.15618,40.078488,129
117.156241,40.078324,130
117.156509,40.078153,131
117.158477,40.077443,132
117.15943,40.076873,133
117.159819,40.076533,134
117.160071,40.076168,135
117.160175,40.07579,136
117.16014,40.075547,137
117.159152,40.073483,138
117.158293,40.071887,139
117.156257,40.069338,140
117.155824,40.068983,141
117.155173,40.068732,142
117.153856,40.068613,143
117.151533,40.068092,144
117.150727,40.067798,145
117.148699,40.066664,146
117.147684,40.066288,147
117.145353,40.065992,148
117.143176,40.066069,149
117.142735,40.065996,150
117.142301,40.065814,151
117.140151,40.064375,152
117.139223,40.064051,153
117.137532,40.064257,154
117.136378,40.06428,155
117.135798,40.064233,156
117.135286,40.063999,157
117.134861,40.064,158
117.131956,40.064744,159
117.131774,40.064802,160
117.128894,40.065461,161
117.128469,40.065582,162
117.128087,40.065774,163
117.127549,40.066308,164
117.127237,40.066604,165
117.126907,40.067081,166
117.126673,40.06755,167
117.126474,40.06811,168
117.126248,40.068436,169
117.125858,40.068801,170
117.125337,40.069179,171
117.124478,40.069558,172
117.123463,40.069997,173
117.123073,40.070162,174
117.120826,40.071509,175
117.120071,40.072078,176
117.119515,40.072426,177
117.119151,40.0725,178
117.118908,40.072478,179
117.118708,40.072387,180
117.118448,40.072131,181
117.118144,40.07191,182
117.11797,40.071715,183
117.117797,40.071329,184
117.117719,40.071146,185
117.117562,40.07099,186
117.117432,40.070942,187
117.11718,40.070934,188
117.116937,40.071038,189
117.116616,40.071321,190
117.116182,40.071698,191
117.115505,40.072055,192
117.114976,40.072259,193
117.114854,40.072298,194
117.114724,40.07232,195
117.113839,40.072272,196
117.113318,40.072212,197
117.112658,40.072142,198
117.112233,40.07213,199
117.111903,40.072164,200
117.111737,40.072169,201
117.111442,40.072165,202
117.111026,40.072043,203
117.11027,40.071922,204
117.108534,40.071818,205
117.107778,40.071809,206
117.106962,40.071935,207
117.106475,40.072066,208
117.105711,40.072413,209
117.104773,40.07286,210
117.104009,40.073376,211
117.104017,40.073446,212
117.104044,40.073485,213
117.104313,40.073554,214
117.1046,40.073745,215
117.104877,40.073971,216
117.105095,40.074227,217
117.105468,40.07457,218
117.105468,40.074692,219
117.105425,40.074761,220
117.105321,40.074765,221
117.105199,40.074648,222
117.104721,40.074297,223
117.103809,40.073902,224
117.103184,40.073606,225
117.102914,40.073485,226
117.102767,40.073376,227
117.102602,40.073212,228
117.102367,40.072877,229
117.102254,40.072829,230
117.10215,40.072847,231
117.102124,40.072899,232
117.102132,40.072994,233
117.102228,40.07319,234
117.10255,40.073628,235
117.103123,40.074492,236
117.103922,40.075582,237
117.103896,40.07566,238
117.10387,40.07569,239
117.101238,40.07628,240
117.101169,40.076258,241
117.101125,40.07618,242
117.101047,40.075959,243
117.100995,40.075872,244
117.100908,40.075859,245
117.1005,40.075907,246
117.098293,40.076106,247
117.09745,40.074834,248
117.097033,40.074877,249
117.089662,40.075034,250
117.085611,40.075126,251
117.085593,40.074861,252
117.085384,40.07237,253
117.085384,40.072001,254
117.085219,40.069591,255
117.085193,40.069071,256
117.085219,40.06868,257
117.085158,40.068602,258
117.085062,40.068593,259
117.083262,40.0686,260
117.083192,40.06857,261
117.083158,40.068426,262
117.083209,40.066139,263
117.083227,40.065479,264
117.083175,40.065457,265
117.083062,40.065479,266
117.082974,40.06547,267
117.082922,40.065323,268
117.08294,40.065244,269
117.082888,40.065179,270
117.082157,40.065226,271
117.082087,40.065192,272
117.082079,40.065131,273
117.082087,40.065061,274
117.080983,40.065091,275
117.081053,40.068815,276
117.078583,40.068599,277
117.078295,40.06856,278
117.074267,40.068047,279
117.074206,40.068038,280
117.07418,40.068203,281
117.074084,40.068242,282
117.0717,40.067931,283
117.069907,40.067611,284
117.069646,40.067563,285
117.069699,40.067411,286
117.070247,40.06558,287
117.070377,40.065155,288
117.070638,40.064179,289
117.07056,40.064161,290
117.06995,40.064026,291
117.066791,40.06333,292
117.065581,40.063033,293
117.064675,40.062836,294
117.064379,40.062779,295
117.064266,40.062692,296
117.064258,40.062627,297
117.06458,40.061959,298
117.064649,40.061712,299
117.063622,40.061593,300
117.062603,40.061704,301
117.062342,40.061829,302
117.06229,40.061851,303
117.062238,40.061886,304
117.062107,40.061777,305
117.061933,40.061369,306
117.06168,40.060778,307
117.061192,40.0601,308
117.06067,40.060177,309
117.059556,40.060409,310
117.057884,40.06061,311
117.057021,40.060678,312
117.055854,40.060706,313
117.055428,40.060744,314
117.055306,40.060726,315
117.055262,40.060539,316
117.055314,40.059198,317
117.055279,40.059189,318
117.054252,40.059452,319
117.053363,40.059615,320
117.052405,40.059665,321
117.052231,40.059721,322
117.052022,40.059721,323
117.051978,40.059734,324
117.052222,40.057902,325
117.052292,40.05766,326
117.052718,40.054861,327
117.052779,40.054739,328
117.052918,40.054722,329
117.05358,40.054806,330
117.053694,40.054811,331
117.053755,40.054724,332
117.053746,40.053609,333
117.053667,40.053252,334
117.053572,40.053031,335
117.053371,40.052887,336
117.052735,40.052721,337
117.05115,40.052348,338
117.051098,40.052275,339
117.051141,40.052097,340
117.051272,40.051676,341
117.051428,40.05116,342
117.051394,40.051095,343
117.051184,40.051072,344
117.050662,40.051028,345
117.046471,40.050593,346
117.044912,40.050407,347
117.044711,40.050384,348
