"","pictureName","date","author","style","genre"
"166","Cliffs near Dieppe","1882","Claude Monet","Impressionism","landscape"
"167","Cliffs near Pourville","1882","Claude Monet","Impressionism","landscape"
"168","Cliffs of Les Petites-Dalles","1880","Claude Monet","Impressionism","landscape"
"169","Cliffs of Les Petites-Dalles","1881","Claude Monet","Impressionism","landscape"
"170","Cliffs of Les Petites-Dalles","1884","Claude Monet","Impressionism","landscape"
"171","Cliffs of Varengeville, Gust of Wind","1881","Claude Monet","Impressionism","landscape"
"172","Cliffs of Varengeville, Gust of Wind","1882","Claude Monet","Impressionism","landscape"
"173","Cliffs of the Porte d'Aval","1885","Claude Monet","Impressionism","landscape"
"174","Clifftop Walk at Pourville","1882","Claude Monet","Impressionism","landscape"
"175","Coal Dockers","1875","Claude Monet","Impressionism","genre painting"
"176","Cobeas","1883","Claude Monet","Impressionism","flower painting"
"177","Coming into Port-Goulphar, Belle-Ile","1886","Claude Monet","Impressionism","landscape"
"178","Corner of the Apartment","1875","Claude Monet","Impressionism","self-portrait"
"179","Customs House","1882","Claude Monet","Impressionism","landscape"
"180","Customs House at Varengaville","1897","Claude Monet","Impressionism","landscape"
"181","Customs House at Varengeville in the Fog","1897","Claude Monet","Impressionism","landscape"
"182","Customs House, Rose Effect","1897","Claude Monet","Impressionism","landscape"
"183","Dahlias","1883","Claude Monet","Impressionism","flower painting"
"184","Dahlias 2","1883","Claude Monet","Impressionism","flower painting"
"185","Dandelions","1900","Claude Monet","Impressionism","flower painting"
"186","Dieppe","1882","Claude Monet","Impressionism","cityscape"
"187","Dolceacqua, Bridge","1884","Claude Monet","Impressionism","cityscape"
"188","Edge of the Cliff at Pourville","1882","Claude Monet","Impressionism","landscape"
"189","Edge of the Cliff, Pourville","1882","Claude Monet","Impressionism","landscape"
"190","Entering the Village of Vetheuil in Winter","1879","Claude Monet","Impressionism","landscape"
"191","Entrance to the Port of Honfleur","1870","Claude Monet","Impressionism","marina"
"192","Entrance to the Port of Trouville","1870","Claude Monet","Impressionism","genre painting"
"193","Etretat the Aval Door Fishing Boats Leaving the Harbour","1885","Claude Monet","Impressionism","landscape"
"194","Etretat, Cliff of d`Aval, Sunset","1885","Claude Monet","Impressionism","landscape"
"195","Etretat, Sunset","1883","Claude Monet","Impressionism","landscape"
"196","Etretat, the Beach and the Porte d'Aval","1883","Claude Monet","Impressionism","landscape"
"197","Etretat, the Needle Rock and Porte d'Aval","1885","Claude Monet","Impressionism","landscape"
"198","Evening Effect of the Seine","1881","Claude Monet","Impressionism","landscape"
"199","Evening at Argenteuil","1876","Claude Monet","Impressionism","landscape"
"200","Farm near Honfleur","1864","Claude Monet","Impressionism","landscape"
"201","Farmyard","1878","Claude Monet","Impressionism","landscape"
"202","Farmyard at Chailly","1865","Claude Monet","Impressionism","genre painting"
"203","Festival at Argenteuil","1872","Claude Monet","Impressionism","genre painting"
"204","Field of Yellow Irises at Giverny","1887","Claude Monet","Impressionism","landscape"
"205","Fields of Flowers and Windmills near Leiden","1886","Claude Monet","Impressionism","landscape"
"206","Fields of Tulip With The Rijnsburg Windmill","1886","Claude Monet","Impressionism","landscape"
"207","Fisherman's Cottage at Varengeville","1882","Claude Monet","Impressionism","landscape"
"208","Fisherman's House at Varengeville","1882","Claude Monet","Impressionism","landscape"
"209","Fisherman`s House in Petit-Ailly","1882","Claude Monet","Impressionism","landscape"
"210","Fishing Boats","1885","Claude Monet","Impressionism","marina"
"211","Fishing Boats Leaving the Harbor, Le Havre","1874","Claude Monet","Impressionism","cityscape"
"212","Fishing Boats at Etretat","1873","Claude Monet","Impressionism","landscape"
"213","Fishing Boats at Honfleur","1868","Claude Monet","Impressionism","cityscape"
"214","Fishing Boats at Pourville","1882","Claude Monet","Impressionism","marina"
"215","Fishing Boats at Sea","1868","Claude Monet","Impressionism","marina"
"216","Fishing Boats by the Beach and the Cliffs of Pourville","1882","Claude Monet","Impressionism","landscape"
"217","Fishing Boats off Pourville","1882","Claude Monet","Impressionism","marina"
"218","Fishing Boats on the Beach at Etretat","1884","Claude Monet","Impressionism","landscape"
"219","Fishing Boats, Calm Sea","1868","Claude Monet","Impressionism","marina"
"220","Fishing on the River Epte","1887","Claude Monet","Impressionism","genre painting"
"221","Floating Ice Near Vetheuil","1880","Claude Monet","Impressionism","landscape"
"222","Floating Ice near Bennecourt","1893","Claude Monet","Impressionism","landscape"
"223","Floating Ice on the Seine","1880","Claude Monet","Impressionism","landscape"
"224","Floating Ice on the Seine 02","1880","Claude Monet","Impressionism","landscape"
"225","Flood Waters","1896","Claude Monet","Impressionism","landscape"
"226","Flood at Giverny","1897","Claude Monet","Impressionism","landscape"
"227","Flood of the Seine at Vetheuil","1881","Claude Monet","Impressionism","landscape"
"228","Flowering Trees near the Coast","1926","Claude Monet","Impressionism","landscape"
"229","Flowers Beds at Vetheuil","1881","Claude Monet","Impressionism","landscape"
"230","Flowers and Fruit","1869","Claude Monet","Impressionism","still life"
"231","Flowers at Vetheuil","1881","Claude Monet","Impressionism","landscape"
"232","Flowers in a Pot","1878","Claude Monet","Impressionism","flower painting"
"233","Flowers in a Vase","1882","Claude Monet","Impressionism","flower painting"
"234","Flowers on the Banks of Seine near Vetheuil","1880","Claude Monet","Impressionism","landscape"
"235","Fog","1872","Claude Monet","Impressionism","landscape"
"236","Fontainebleau Forest","1865","Claude Monet","Impressionism","landscape"
"237","Frost","1875","Claude Monet","Impressionism","cityscape"
"238","Frost near Vetheuil","1880","Claude Monet","Impressionism","landscape"
"239","Fruit Basket with Apples and Grapes","1879","Claude Monet","Impressionism","still life"
"240","Fruit Trees","1874","Claude Monet","Impressionism","landscape"
"241","Garden at Sainte-Adresse","1867","Claude Monet","Impressionism","genre painting"
"242","Garden at Vetheuil","1881","Claude Monet","Impressionism","landscape"
"243","Garden in Bloom at Sainte-Addresse","1866","Claude Monet","Impressionism","landscape"
"244","Garden in Bordighera, Impression of Morning","1884","Claude Monet","Impressionism","landscape"
"245","Gardener's House at Antibes","1888","Claude Monet","Impressionism","landscape"
"246","Gare St.-Lazare","1877","Claude Monet","Impressionism","genre painting"
"247","Geese in the creek","1874","Claude Monet","Impressionism","landscape"
"248","Geldersekade of Amsterdam Invierno","1874","Claude Monet","Impressionism","cityscape"
"249","General View Of Rouen From St.Catherines Bank","1892","Claude Monet","Impressionism","cityscape"
"250","Gennevilliers Plain","1877","Claude Monet","Impressionism","landscape"
"251","Gestrandetes Boot in Fecamp","1868","Claude Monet","Impressionism","landscape"
"252","Girls in the Garden","1875","Claude Monet","Impressionism","flower painting"
"253","Giverny in Springtime","1900","Claude Monet","Impressionism","landscape"
"254","Gladioli","1876","Claude Monet","Impressionism","genre painting"
"255","Gladiolus","1881","Claude Monet","Impressionism","flower painting"
"256","Gladiolus","1881","Claude Monet","Impressionism","flower painting"
"257","Gondola in Venice","1908","Claude Monet","Impressionism","cityscape"
"258","Grainstack","1891","Claude Monet","Impressionism","landscape"
"259","Grainstack 2","1891","Claude Monet","Impressionism","landscape"
"260","Grainstack at Giverny","1889","Claude Monet","Impressionism","landscape"
"261","Grainstack at Sunset","1891","Claude Monet","Impressionism","landscape"
"262","Grainstack in Overcast Weather, Snow Effect","1891","Claude Monet","Impressionism","landscape"
"263","Grainstack in the Morning, Snow Effect","1891","Claude Monet","Impressionism","landscape"
"264","Grainstack under the Sun","1891","Claude Monet","Impressionism","landscape"
"265","Grainstack, Impression in Pinks and Blues","1891","Claude Monet","Impressionism","landscape"
"266","Grainstack, Thaw, Sunset","1891","Claude Monet","Impressionism","landscape"
